,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Size_type
48312,20,538000.0,4.0,2.0,2.0,Condominium (Corner),1341.0,1,built-up 
48313,20,528000.0,4.0,2.0,2.0,Condominium (Corner),1341.0,1,built-up 
48314,20,510000.0,4.0,2.0,2.0,Condominium (Corner),1341.0,1,built-up 
48315,20,680000.0,4.0,2.0,2.0,Condominium,935.0,1,built-up 
48316,20,638000.0,2.0,2.0,2.0,Serviced Residence,814.0,3,built-up 
48318,20,380000.0,3.0,2.0,1.0,Serviced Residence,900.0,3,built-up 
48319,9,540000.0,3.0,2.0,2.0,Condominium,1072.0,3,built-up 
48322,9,2600000.0,5.0,6.0,0.0,Condominium,4300.0,3,built-up 
48323,38,610000.0,4.0,3.0,1.0,Condominium,1408.0,1,built-up 
48324,38,610000.0,4.0,3.0,1.0,Condominium,1408.0,1,built-up 
48325,1,3900000.0,8.0,8.0,0.0,Semi-detached House (Corner),6211.0,2,land area 
48326,28,1860000.0,2.0,2.0,2.0,Condominium (Corner),1551.0,0,built-up 
48327,40,3000000.0,5.0,6.0,3.0,Condominium (Corner),3446.0,0,built-up 
48328,11,335000.0,4.0,2.0,1.0,Condominium,861.0,1,built-up 
48329,28,635000.0,1.0,1.0,1.0,Serviced Residence,576.0,0,built-up 
48330,30,1120000.0,5.0,3.0,2.0,Serviced Residence,1650.0,0,built-up 
48331,1,1010000.0,2.0,2.0,1.0,Serviced Residence,942.0,0,built-up 
48332,1,565000.0,1.0,1.0,1.0,Serviced Residence,502.0,0,built-up 
48333,29,500000.0,4.0,2.0,2.0,Condominium (Corner),1328.0,1,built-up 
48334,38,500000.0,4.0,2.0,2.0,Condominium (Intermediate),1194.0,1,land area 
48335,14,5000000.0,6.0,7.0,0.0,Bungalow,2970.0,1,land area 
48336,40,3900000.0,5.0,5.0,0.0,Bungalow,5230.0,3,built-up 
48337,38,520000.0,3.0,2.0,2.0,Condominium (Intermediate),1442.0,1,built-up 
48338,43,1300000.0,4.0,4.0,2.0,Townhouse (Intermediate),2262.0,1,land area 
48339,20,150000.0,3.0,2.0,1.0,Apartment (Intermediate),620.0,2,built-up 
48340,29,328000.0,3.0,2.0,1.0,Flat (Intermediate),925.0,1,built-up 
48342,20,428000.0,3.0,2.0,1.0,Condominium (Corner),920.0,1,built-up 
48344,29,520000.0,3.0,2.0,1.0,Serviced Residence (Intermediate),935.0,1,built-up 
48345,5,510000.0,2.0,1.0,1.0,Apartment,592.0,1,built-up 
48346,5,403000.0,2.0,1.0,1.0,Apartment,495.0,1,built-up 
48347,38,300000.0,3.0,2.0,2.0,Condominium (Corner),800.0,2,built-up 
48348,5,369000.0,2.0,1.0,1.0,Apartment,495.0,1,built-up 
48349,28,3843000.0,4.0,4.0,2.0,Condominium,3660.0,1,built-up 
48350,14,6000000.0,8.0,8.0,0.0,Bungalow,7000.0,1,built-up 
48351,28,10800000.0,6.0,6.0,0.0,Serviced Residence,7793.0,0,built-up 
48352,45,3800000.0,7.0,6.0,0.0,Bungalow,7000.0,1,built-up 
48353,14,6000000.0,5.0,6.0,0.0,Bungalow,9700.0,3,land area 
48354,14,4390000.0,6.0,5.0,0.0,Bungalow,6360.0,1,built-up 
48355,37,6500000.0,6.0,6.0,2.0,Semi-detached House (Corner),6035.0,1,built-up 
48356,18,520000.0,3.0,2.0,1.0,Condominium (Intermediate),1100.0,1,land area 
48357,46,2900000.0,5.0,3.0,2.0,Semi-detached House (Intermediate),3600.0,1,land area 
48359,23,345000.0,3.0,2.0,4.0,1-sty Terrace/Link House (Intermediate),1400.0,1,land area 
48362,11,500000.0,4.0,4.0,0.0,2-sty Terrace/Link House,1760.0,3,land area 
48363,0,500000.0,4.0,4.0,0.0,2-sty Terrace/Link House,1650.0,2,land area 
48364,23,285000.0,3.0,2.0,1.0,Apartment (Intermediate),820.0,1,built-up 
48365,23,295000.0,3.0,2.0,1.0,Apartment (Intermediate),820.0,1,built-up 
48366,30,850000.0,3.0,2.0,3.0,Condominium (Corner),1550.0,0,built-up 
48367,38,670000.0,3.0,2.0,2.0,Condominium (Intermediate),908.0,0,built-up 
48368,38,435000.0,1.0,1.0,1.0,Serviced Residence (Corner),622.0,1,land area 
